queueOrder,page,oldPath,clicks,impressions,priorityScore,legacyType,suggestedTargetPath,proposedTargetPath,decisionType,reasonCode,confidence,curationStatus,finalDecision,reviewStatus,finalTargetPath,reviewerNotes,reviewedAt,reviewVersion
11,https://www.kotacom.id/projects/restaurant-management-system,/projects/restaurant-management-system,0,270,10.73,project_detail,/services,/projects/restaurant-management-system,keep_or_redirect,projects_direct,medium,pending_review,approved_keep_or_redirect,in_review,/projects/restaurant-management-system,Target path pattern is valid; verify content existence in CMS before final redirect.,2026-04-01,v2
33,https://www.kotacom.id/blog/transformasi-bisnis,/blog/transformasi-bisnis,0,75,9.52,other_nested,,/blog/transformasi-bisnis,keep_or_redirect,blog_slug_normalization,medium,pending_review,approved_keep_or_redirect,in_review,/blog/transformasi-bisnis,Target path pattern is valid; verify content existence in CMS before final redirect.,2026-04-01,v2
44,https://www.kotacom.id/blog/software-development-surabaya,/blog/software-development-surabaya,0,57,9.05,other_nested,,/blog/software-development-surabaya,keep_or_redirect,blog_slug_normalization,medium,pending_review,approved_keep_or_redirect,in_review,/blog/software-development-surabaya,Target path pattern is valid; verify content existence in CMS before final redirect.,2026-04-01,v2
51,https://www.kotacom.id/blog/panduan-memilih-sistem-pos-untuk-umkm-indonesia,/blog/panduan-memilih-sistem-pos-untuk-umkm-indonesia,0,51,8.86,other_nested,,/blog/panduan-memilih-sistem-pos-untuk-umkm-indonesia,keep_or_redirect,blog_slug_normalization,medium,pending_review,approved_keep_or_redirect,in_review,/blog/panduan-memilih-sistem-pos-untuk-umkm-indonesia,Target path pattern is valid; verify content existence in CMS before final redirect.,2026-04-01,v2
57,https://www.kotacom.id/projects/fashion-retail-pos-system-butik-cantik,/projects/fashion-retail-pos-system-butik-cantik,0,46,7.69,project_detail,/services,/projects/fashion-retail-pos-system-butik-cantik,keep_or_redirect,projects_direct,medium,pending_review,approved_keep_or_redirect,in_review,/projects/fashion-retail-pos-system-butik-cantik,Target path pattern is valid; verify content existence in CMS before final redirect.,2026-04-01,v2
73,https://www.kotacom.id/projects/it-infrastructure-upgrade,/projects/it-infrastructure-upgrade,0,34,14.09,project_detail,/services,/projects/it-infrastructure-upgrade,keep_or_redirect,projects_direct,medium,pending_review,approved_keep_or_redirect,in_review,/projects/it-infrastructure-upgrade,Target path pattern is valid; verify content existence in CMS before final redirect.,2026-04-01,v2
78,https://www.kotacom.id/projects/law-firm-case-management,/projects/law-firm-case-management,1,32,16.01,project_detail,/services,/projects/law-firm-case-management,keep_or_redirect,projects_direct,medium,pending_review,approved_keep_or_redirect,in_review,/projects/law-firm-case-management,Target path pattern is valid; verify content existence in CMS before final redirect.,2026-04-01,v2
79,https://www.kotacom.id/projects/website-toko-online-umkm,/projects/website-toko-online-umkm,0,32,13.32,project_detail,/services,/projects/website-toko-online-umkm,keep_or_redirect,projects_direct,medium,pending_review,approved_keep_or_redirect,in_review,/projects/website-toko-online-umkm,Target path pattern is valid; verify content existence in CMS before final redirect.,2026-04-01,v2
93,https://www.kotacom.id/projects/cooperative-management-system-surabaya,/projects/cooperative-management-system-surabaya,0,28,9.25,project_detail,/services,/projects/cooperative-management-system-surabaya,keep_or_redirect,projects_direct,medium,pending_review,approved_keep_or_redirect,in_review,/projects/cooperative-management-system-surabaya,Target path pattern is valid; verify content existence in CMS before final redirect.,2026-04-01,v2
101,https://www.kotacom.id/blog/coworking-space-tech-surabaya,/blog/coworking-space-tech-surabaya,0,26,8.73,other_nested,,/blog/coworking-space-tech-surabaya,keep_or_redirect,blog_slug_normalization,medium,pending_review,approved_keep_or_redirect,in_review,/blog/coworking-space-tech-surabaya,Target path pattern is valid; verify content existence in CMS before final redirect.,2026-04-01,v2
112,https://www.kotacom.id/blog/startup-tech-surabaya-sidoarjo,/blog/startup-tech-surabaya-sidoarjo,0,22,19.45,other_nested,,/blog/startup-tech-surabaya-sidoarjo,keep_or_redirect,blog_slug_normalization,medium,pending_review,approved_keep_or_redirect,in_review,/blog/startup-tech-surabaya-sidoarjo,Target path pattern is valid; verify content existence in CMS before final redirect.,2026-04-01,v2
121,https://www.kotacom.id/blog/smart-city-surabaya-teknologi,/blog/smart-city-surabaya-teknologi,0,21,8.37,other_nested,,/blog/smart-city-surabaya-teknologi,keep_or_redirect,blog_slug_normalization,medium,pending_review,approved_keep_or_redirect,in_review,/blog/smart-city-surabaya-teknologi,Target path pattern is valid; verify content existence in CMS before final redirect.,2026-04-01,v2
122,https://www.kotacom.id/blog/software-development-surabaya-terbaik-2025,/blog/software-development-surabaya-terbaik-2025,0,21,7.37,other_nested,,/blog/software-development-surabaya-terbaik-2025,keep_or_redirect,blog_slug_normalization,medium,pending_review,approved_keep_or_redirect,in_review,/blog/software-development-surabaya-terbaik-2025,Target path pattern is valid; verify content existence in CMS before final redirect.,2026-04-01,v2
131,https://www.kotacom.id/blog/jasa-it-support-surabaya-sidoarjo-terpercaya-24jam,/blog/jasa-it-support-surabaya-sidoarjo-terpercaya-24jam,2,19,12.89,other_nested,,/blog/jasa-it-support-surabaya-sidoarjo-terpercaya-24jam,keep_or_redirect,blog_slug_normalization,medium,pending_review,approved_keep_or_redirect,in_review,/blog/jasa-it-support-surabaya-sidoarjo-terpercaya-24jam,Target path pattern is valid; verify content existence in CMS before final redirect.,2026-04-01,v2
142,https://www.kotacom.id/blog/page/12,/blog/page/12,0,16,11.82,other_nested,,/blog/12,keep_or_redirect,blog_slug_normalization,medium,pending_review,approved_keep_or_redirect,in_review,/blog/12,Target path pattern is valid; verify content existence in CMS before final redirect.,2026-04-01,v2
144,https://www.kotacom.id/blog/digitalisasi-umkm-surabaya-sidoarjo-terbaik-2025,/blog/digitalisasi-umkm-surabaya-sidoarjo-terbaik-2025,0,15,14.82,other_nested,,/blog/digitalisasi-umkm-surabaya-sidoarjo-terbaik-2025,keep_or_redirect,blog_slug_normalization,medium,pending_review,approved_keep_or_redirect,in_review,/blog/digitalisasi-umkm-surabaya-sidoarjo-terbaik-2025,Target path pattern is valid; verify content existence in CMS before final redirect.,2026-04-01,v2
153,https://www.kotacom.id/projects/education,/projects/education,0,14,15.42,project_detail,/services,/projects/education,keep_or_redirect,projects_direct,medium,pending_review,approved_keep_or_redirect,in_review,/projects/education,Target path pattern is valid; verify content existence in CMS before final redirect.,2026-04-01,v2
159,https://www.kotacom.id/projects/fashion-retail-pos-system,/projects/fashion-retail-pos-system,0,13,9.65,project_detail,/services,/projects/fashion-retail-pos-system,keep_or_redirect,projects_direct,medium,pending_review,approved_keep_or_redirect,in_review,/projects/fashion-retail-pos-system,Target path pattern is valid; verify content existence in CMS before final redirect.,2026-04-01,v2
160,https://www.kotacom.id/blog/web-design-responsive-surabaya,/blog/web-design-responsive-surabaya,0,13,6.58,other_nested,,/blog/web-design-responsive-surabaya,keep_or_redirect,blog_slug_normalization,medium,pending_review,approved_keep_or_redirect,in_review,/blog/web-design-responsive-surabaya,Target path pattern is valid; verify content existence in CMS before final redirect.,2026-04-01,v2
179,https://www.kotacom.id/blog/jasa-pembuatan-website-surabaya-sidoarjo-terbaik,/blog/jasa-pembuatan-website-surabaya-sidoarjo-terbaik,0,11,6.32,other_nested,,/blog/jasa-pembuatan-website-surabaya-sidoarjo-terbaik,keep_or_redirect,blog_slug_normalization,medium,pending_review,approved_keep_or_redirect,in_review,/blog/jasa-pembuatan-website-surabaya-sidoarjo-terbaik,Target path pattern is valid; verify content existence in CMS before final redirect.,2026-04-01,v2
200,https://www.kotacom.id/blog/server-maintenance-surabaya,/blog/server-maintenance-surabaya,0,9,6,other_nested,,/blog/server-maintenance-surabaya,keep_or_redirect,blog_slug_normalization,medium,pending_review,approved_keep_or_redirect,in_review,/blog/server-maintenance-surabaya,Target path pattern is valid; verify content existence in CMS before final redirect.,2026-04-01,v2
220,https://www.kotacom.id/blog/sistem-pos-surabaya-terbaik-untuk-umkm-2025,/blog/sistem-pos-surabaya-terbaik-untuk-umkm-2025,0,7,15.44,other_nested,,/blog/sistem-pos-surabaya-terbaik-untuk-umkm-2025,keep_or_redirect,blog_slug_normalization,medium,pending_review,approved_keep_or_redirect,in_review,/blog/sistem-pos-surabaya-terbaik-untuk-umkm-2025,Target path pattern is valid; verify content existence in CMS before final redirect.,2026-04-01,v2
234,https://www.kotacom.id/projects/government,/projects/government,0,7,9.07,project_detail,/services,/projects/government,keep_or_redirect,projects_direct,medium,pending_review,approved_keep_or_redirect,in_review,/projects/government,Target path pattern is valid; verify content existence in CMS before final redirect.,2026-04-01,v2
253,https://www.kotacom.id/projects/retail,/projects/retail,0,6,6.65,project_detail,/services,/projects/retail,keep_or_redirect,projects_direct,medium,pending_review,approved_keep_or_redirect,in_review,/projects/retail,Target path pattern is valid; verify content existence in CMS before final redirect.,2026-04-01,v2
254,https://www.kotacom.id/blog/page/17,/blog/page/17,0,6,6.58,other_nested,,/blog/17,keep_or_redirect,blog_slug_normalization,medium,pending_review,approved_keep_or_redirect,in_review,/blog/17,Target path pattern is valid; verify content existence in CMS before final redirect.,2026-04-01,v2
255,https://www.kotacom.id/blog/it-infrastructure-planning-surabaya,/blog/it-infrastructure-planning-surabaya,0,6,5.38,other_nested,,/blog/it-infrastructure-planning-surabaya,keep_or_redirect,blog_slug_normalization,medium,pending_review,approved_keep_or_redirect,in_review,/blog/it-infrastructure-planning-surabaya,Target path pattern is valid; verify content existence in CMS before final redirect.,2026-04-01,v2
256,https://www.kotacom.id/blog/konsultan-it-sidoarjo-terpercaya-2025,/blog/konsultan-it-sidoarjo-terpercaya-2025,0,6,5.38,other_nested,,/blog/konsultan-it-sidoarjo-terpercaya-2025,keep_or_redirect,blog_slug_normalization,medium,pending_review,approved_keep_or_redirect,in_review,/blog/konsultan-it-sidoarjo-terpercaya-2025,Target path pattern is valid; verify content existence in CMS before final redirect.,2026-04-01,v2
272,https://www.kotacom.id/blog/page/18,/blog/page/18,0,5,8.79,other_nested,,/blog/18,keep_or_redirect,blog_slug_normalization,medium,pending_review,approved_keep_or_redirect,in_review,/blog/18,Target path pattern is valid; verify content existence in CMS before final redirect.,2026-04-01,v2
273,https://www.kotacom.id/blog/page/46,/blog/page/46,0,5,8.15,other_nested,,/blog/46,keep_or_redirect,blog_slug_normalization,medium,pending_review,approved_keep_or_redirect,in_review,/blog/46,Target path pattern is valid; verify content existence in CMS before final redirect.,2026-04-01,v2
275,https://www.kotacom.id/blog/page/67,/blog/page/67,0,5,6.11,other_nested,,/blog/67,keep_or_redirect,blog_slug_normalization,medium,pending_review,approved_keep_or_redirect,in_review,/blog/67,Target path pattern is valid; verify content existence in CMS before final redirect.,2026-04-01,v2
291,https://www.kotacom.id/projects/it-infrastructure-upgrade-cv-maju-bersama,/projects/it-infrastructure-upgrade-cv-maju-bersama,0,4,13.6,project_detail,/services,/projects/it-infrastructure-upgrade-cv-maju-bersama,keep_or_redirect,projects_direct,medium,pending_review,approved_keep_or_redirect,in_review,/projects/it-infrastructure-upgrade-cv-maju-bersama,Target path pattern is valid; verify content existence in CMS before final redirect.,2026-04-01,v2
299,https://www.kotacom.id/projects/manufacturing,/projects/manufacturing,0,4,12.6,project_detail,/services,/projects/manufacturing,keep_or_redirect,projects_direct,medium,pending_review,approved_keep_or_redirect,in_review,/projects/manufacturing,Target path pattern is valid; verify content existence in CMS before final redirect.,2026-04-01,v2
